eoa,pattern,coin,hl_side,pm_dir,question
0x57fc5d089f5aecf327b40472bcf52f52cf31928a,HL: Short  |  PM: Bullish,TSLA,Long,Bullish,Will Tesla acquire xAI in 2025?
0x585fdb545362bfe550300d851d049244c21fc3d6,HL: Short  |  PM: Bullish,AAPL,Short,Bullish,Will Apple be the second-largest company in the world by market cap on December 31?
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?
0x70770e5aa200d39bfd34b388fdd1d69a03f0a8f1,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA (NVDA) beat quarterly earnings?
0x80401362dc41308f34195f85fa508695cab4f5eb,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) close at >$220 in 2025?
0x80401362dc41308f34195f85fa508695cab4f5eb,HL: Long   |  PM: Bearish,TSLA,Short,Bearish,Will Tesla (TSLA) close at $415-$420 on the final day of trading of the week of Nov 24 – Nov 28?
0x929d9bc38739d587278b77eb4cd23a027de5b4de,HL: Short  |  PM: Bullish,META,Short,Bullish,Will Meta dip to $550 in November?
0x929d9bc38739d587278b77eb4cd23a027de5b4de,HL: Short  |  PM: Bullish,META,Short,Bearish,Will Meta (META) hit a 52-Week High by December 31?
0x99291427e58c442636d265a5d65df23b9453db68,HL: Short  |  PM: Bullish,GOOGL,Short,Bullish,Will Google (GOOGL) hit $345 before 2026??
0x992fa1f4459042e59734c4e38bec152ff119ecdb,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,HL: Long   |  PM: Bearish,AAPL,Long,Bearish,Tim Cook out as Apple CEO in 2025?
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,HL: Long   |  PM: Bearish,AAPL,Long,Bearish,Will Apple acquire Perplexity in 2025?
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,HL: Long   |  PM: Bearish,AAPL,Long,Bullish,Will Apple be the second-largest company in the world by market cap on December 31?
0xa155ca5ecc705be8a8af4a90a26105c9ea02bf9e,HL: Long   |  PM: Bearish,NVDA,Long,Bullish,Will NVIDIA be the largest company in the world by market cap on November 30?
0xa8da06619f2d7211f9625b57f37016f42a4bf105,HL: Short  |  PM: Bullish,AAPL,Short,Bullish,Will Apple be the second-largest company in the world by market cap on December 31?
0xb6d3e41eb7715e1460aabbb492f7fd1285fe78b3,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,Will NVIDIA be the largest company in the world by market cap on November 30?
0xc4cee943e4f7140f568a38a0ebb967ba79600cc2,HL: Short  |  PM: Bullish,NVDA,Short,Bullish,"Will NVIDIA say ""Trump"" during earnings call?"
0xc80ee9083e9272eac75c19fa494625c9efd51166,HL: Long   |  PM: Bearish,TSLA,Long,Bearish,Will Tesla (TSLA) hit $350 before 2026??
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) close above $150 end of November?
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) close above $170 end of November?
0xdd5fc1676f84019ce3cffa6f52c3060363407c0e,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?
0xe091de93dd7f640c81790f401cac162c1bdf143e,HL: Long   |  PM: Bearish,XYZ100,Long,Bearish,Will Nasdaq (NDAQ) beat quarterly earnings?
0xefd23d0db9ad1b53f4ba2b0f300707a9da4bd931,HL: Long   |  PM: Bearish,TSLA,Long,Bearish,Will Tesla (TSLA) hit a 52-Week High by December 31?
0xefe1be7c6d0fcfb83808382c86899ddaba2a6b60,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?
0xf26da589c149efa79b2be62f4b81b1b63a8ea7cd,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA (NVDA) beat quarterly earnings?
0xfa4efb76f67bfe940d026adace39a8dac1df3b76,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA dip to $144 in November?
0xfa4efb76f67bfe940d026adace39a8dac1df3b76,HL: Long   |  PM: Bearish,NVDA,Long,Bearish,Will NVIDIA dip to $124 in November?
0xfa6a68bfc3082177627ec216a8034396d84b2342,HL: Short  |  PM: Bullish,MSFT,Short,Bullish,Will Microsoft (MSFT) finish week of December 1 above $430?
0xfece5d531c16508de2bd445e772e51d143c0d147,HL: Short  |  PM: Bullish,GOOGL,Short,Bullish,Will Google (GOOGL) close above $220 end of November?
0xfece5d531c16508de2bd445e772e51d143c0d147,HL: Short  |  PM: Bullish,META,Short,Bullish,Will Meta reach $960 in November?
0xfece5d531c16508de2bd445e772e51d143c0d147,HL: Short  |  PM: Bullish,NVDA,Long,Bullish,Will NVIDIA be the largest company in the world by market cap on March 31?
